username,rating,time,votes,comment
Quanwer,5,2018-07-23 08:40:19,3419,巨人作者不是右翼！！！！！巨人也不是中国人！！！！！8102年了不会还有人相信吧！！！！！！真的不想再次看到第二季里面说因为作者的问题减一星的情况了！！！！！！！！！！
小隐隐于浆糊,5,2018-07-23 11:26:43,2654,珍惜每个巨人中你喜欢的角色吧 因为下一秒他可能就便当了……
我想喝哇哈哈惹,5,2018-08-13 23:27:21,1169,看够了各路新番菜鸡互啄，巨人真他妈好看啊
许贤,5,2018-07-24 23:57:10,886,阿尔敏可以出本子了
三体人不学外语,5,2021-01-21 21:37:24,763,艾伦从第一季第一集要杀光所有巨人，到第三季最后一集，摸着匍匐在地艰难爬行的巨人的头，说出了「他是被送到乐园的我们的同胞」，这样复杂的心情是无数苦难堆积出来的。
tothemoon,5,2022-08-05 12:21:56,356,终于知道为什么这么多人喜欢兵长了，他没有巨人之力，却有比其更坚毅的力量
芋泥波波,5,2018-07-23 12:27:53,433,"OP：Xjapan  hyde太好听了！！！！！"
咖啡只喝速溶,5,2018-07-23 23:42:49,448,这一季总算没有拖得太久，第一集最后一分钟的强敌登场魄力十足。
霍比,5,2018-07-22 03:21:57,526,五星预定 前排挤一挤
文连殳,5,2018-07-23 09:21:52,392,"中间整整跳了一本漫画的情节。
估计编剧的想法就是先把人骗进来，等你看了3集发现全是文戏也晚了，3集后打戏马上就能接上。"
早日退休瑾朵朵,5,2018-11-08 20:57:36,221,朝闻道，夕可死矣， Erwin还没看到世界的真相就止步于在问道途中，颇有壮志未酬身先死的悲壮，梦想真的比性命更重要吗？看到第12话隔着屏幕呐喊：Leiv你快把他腿打断，留下他，不要去(´°̥̥̥̥̥̥̥̥ω°̥̥̥̥̥̥̥̥｀)
Pluto&Piaget,5,2021-02-16 23:34:25,165,The curse of bigness 为什么还有人纠结中日隐喻，给我任何一段诚实的历史，都能代入其中。所以萨内斯受审说“轮流吧”；所以对于始祖之力，凡受赐者上位必变心。权力是罪恶，巨大的权力是巨大的罪恶，他人是地狱，无穷的他人是无穷的地狱，自由冲击自由，枷锁折叠枷锁。人天生拥护简单叙事，世界却以复杂作为诅咒，因此残酷至极，勇猛的单兵都身不由己，高墙的背面都是镜子。玛利亚是一面哭墙，三笠、贝尔托特和埃尔文的答案惊人相似，多说无益，唯闭眼者能穿杨。伟大的作品让故事和真理密不可分，只要签收了情节就不可能拒收领悟
sucree,5,2018-07-23 19:03:15,320,bgm还是一样的好听，三笠还是一样的女神，矮子兵长还是一样的高冷萌，还是一样的动不动死人。这一季看起来要讲人类内斗的政治故事啊，充满期待
