username,rating,time,votes,comment
Up李得豹,5,2025-11-28 15:26:44,0,啥也不说了神作！
汤很热,5,2025-11-28 12:29:53,0,人啊，从来都没有团结过。
司马长丰,5,2025-11-28 05:00:03,1,向埃尔文团长献上心脏!!!
WinstonZ,5,2025-11-28 00:16:25,0,神
小mai的麦子,5,2025-11-27 21:52:45,1,"武戏转文戏 开始要拔深度了
讲起政治向的内容
墙象征着什么
墙内的王权有点海贼的天龙人感觉
天龙人凌驾政府
中央宪兵团保护天龙人

还有太多的疑问了

变巨人的药剂哪里来｜艾伦父亲为什么杀王权一家｜为什么要立假的王权｜

雷伊斯家族—支配巨人/抹除记忆能力是靠药剂变巨人吃自己王族人（也是意识巨人）传代下去

建造墙｜让人们活在巨人的恐惧中-巩固墙内政权（和平）"
土味男孩,5,2025-11-27 21:36:51,0,为了维持墙内社会，王室篡改了历史
yy,5,2025-11-27 17:23:57,0,所有的谜底都在这一季揭开 墙外的人类 恶魔的子民 以为逃离了墙就迎来了自由 然后海的那边不是自由是敌人 看到倒数第二集的时候感到深深的无力 人类自相残杀 偏执地灌输思想的父母遭到反噬 世界上没有不战之战 只要还有利益可图 人类就永远不会止战 就像利威尔说的 只有最后只剩下一个人类 战争才会停止 艾伦被托付了太多明明觉得自己只是特别的父亲的儿子 却在年仅十五岁托付复兴之命 面对世界开战拯救人类之命或者说是艾尔迪亚人之命 所以看到后面只觉得人类真可怜也真可恶 纷争由人类而起 又没办法无辜天真地活着 莫名其妙死去的人之中有冤魂吗 他们是在毫不知情地赎罪吗 第一次看的时候我还没有这么多感悟 但看到这几年世界发生的种种 无一不是在映射这残酷而令人可怖的现实和人性 巨人非常值得人继续思考
德云女孩csp,5,2025-11-27 15:20:20,0,一直痛恨的巨人都是我们受苦受难被迫变成巨人的同胞 曾经以为墙壁的外面是大海 大海的对面就是自由 可是真的看到大海之后发现 海的另一头才是敌人 这样的真相太难承受了
就是个农人,4,2025-11-27 14:32:02,0,艾伦家的地下室秘密和真相到底是什么！！！？我等了49集了。
短松冈,5,2025-11-27 12:42:21,0,"仔细看了半夜，才从字缝里看出字来，满本都写著两个宇，是“吃人”。
-
存在主义巨著。
人生而自由只是无往不在枷锁之中。"
森星,5,2025-11-27 00:37:27,0,神
🐻,4,2025-11-27 00:22:25,0,+
豆友hi_4-T_TQI,5,2025-11-26 23:51:04,0,无可挑剔
叫我小龙就行了,5,2025-11-26 21:05:23,0,虽然阿尔敏为了堵墙愿意让自己被火烤焦，挺勇敢的，但我还是有点怕他，男版安陵容，心思太细腻太敏感了，记忆力超群，仅凭一些细枝末节就能猜出一切，就跟安陵容轻易看出沈眉庄跟温实初有私情一样，太恐怖了.....
Big Scorpio,3,2025-11-26 19:50:21,0,希斯特利亚做女王，她爸舔了一口液体就巨人化好丑爬行。。。还有兽巨真高智。。。莱纳精神分裂有点搞笑
