username,rating,time,votes,comment
りは,4.9,2025/01/22,0,"第2シーズンまでいくと

もう後戻りできない感じで

とにかく先に先に飲まれていきます



第1シーズンでの考察は

半分正解？半分間違い？



あにこれの評価が高いのは納得です"
xinxin22,4.8,2024/08/27,0,"この書評には重要なネタバレが含まれています。



「自由」と「正義」を掲げて手段を選ばない人々が、最も恐ろしい存在です。



筆者は『進撃の巨人』が完結した後に一気に読んだ（それまで読んだことがありませんでした）ため、物語の解釈が完全ではなく、また完全に正確であるとも言えません。ただ、私の個人的な見解を述べるに過ぎません。この作品の結末については非常に賛否が分かれました。反戦を推奨していると考える人もいれば、右翼思想を賛美していると見なす人もいます。しかし、私はこう思います：必ずしも歴史上の実在の国にあてはめて見る必要はないが、この作品には戦争や自由についての深い考察が多く含まれているものの、その中で表現されているいくつかの思想には問題があるかもしれないと。



この作品に対してどう見解を持つにせよ、「自由」が最も重要なテーマの一つであることは否定できません。そして、この作品の中の主人公たちは皆、人類の「自由」のために心臓を捧げる覚悟を持っています。しかし、彼らは実際には誰のために心臓を捧げているのでしょうか？彼らの犠牲は本当に世界や彼らの民により良い生活をもたらしたのでしょうか？私はこれに疑問を持っています。



「自由」の象徴的なキャラクターは、エレンです。



最初は、壁と壁の外の巨人がエレンの自由を妨げていたため、エレンは調査兵団に加入しました。



その後、現存する政府の腐敗体制が民衆、言論の自由、そして巨人討伐の自由を制限していることが次第に明らかになり、彼らはクーデターを起こし、ヒストリアを女王として擁立しました。



壁外の巨人を追い払ったとき、彼らは壁の外に海があることを発見しましたが、真の自由はありませんでした。マーレ人の彼らに対する憎しみ、差別、戦意が彼らの生存と発展の自由を制限していたのです。そこでエレンは地鳴らしを発動し、人類の八割を滅ぼすことを決意しました。



しかし、彼らは本当に「自由」のために戦っているのでしょうか？



自由には代償が伴います。初期には彼らは巨人に宣戦布告し、自由を勝ち取りましたが、代償は兵士たちの心臓でした。後期には、エレンはエルディアのために人類の八割を滅ぼし、その代償は全世界の無辜の人々の命でした。



エレンが地鳴らしを発動した理由は、マーレ人がエルディア人を抑圧しているのを見たからですが、彼の行動は壁外の八割の人々を踏みにじるものでした。彼は壁外のエルディア人に対しては一切の憐憫を示していません（もちろん、数滴の涙が憐憫と数えるならば話は別ですが）。ですから、彼はただ同期の友人たちを「英雄」にし、幸せに生きてもらいたかっただけなのです。島の他の人々も彼の考慮の範囲には入っていません（マリアの壁の巨人だけでも世界を踏み潰すのに十分であったのに、彼は島民が踏み潰される危険を冒してでもすべての巨人を動かそうとしました）。



「自由」とは名ばかりで、その実は「利益」です。



しかし、エレンの案だけがそうなのでしょうか？ジークの全員不妊化案は、すべての人の生殖の自由を奪い、母子相食は続けられなければなりません。ハンジの救世案は残された命を救えるかもしれませんが、エルディア人を危機に陥れる可能性も大いにあります。



自由と自由は互いに矛盾するものであり、自分の自由のために他人の自由を損なうことは決して正当化されるものではありません。



そして、作品中のすべてのキャラクターは、それぞれの「正義」を持っているように見えます。自分が「正義」であると考えるキャラクターは、「正義」のためなら大虐殺も辞さないのです。作者は道徳的相対主義に陥っているのかもしれません。多くの行動の動機が正当化されており、それらのほとんどは互いに矛盾していますが、読者は誰が正しいか間違っているかを判断するのが難しいのです。なぜなら、多くの矛盾は証拠のない「歴史」に起因しているからです。



作中では2000年の間に何が実際に起こったのかについては一切説明されていません。各国や各人がそれぞれの目に見える真実を持っている——自分に都合の良い真実さえあれば、真の歴史に興味を持つ者はいないのです。作者は歴史虚無主義の立場を取っているようで、真実は存在しないとし、歴史は利益のために歪められることがあると考えています。しかし、これは間違っています。歴史は正視されるべきであり、教訓を引き出すために記憶されるべきです。しかし、島の人々は教訓を得たでしょうか？エゴール派のファシズムとポピュリズムは、すでに島に憎しみの壁を築き上げています。



しかし、作品には反戦の思想も存在しないわけではありません。特に印象的だったのは、マルシャ家族がマーレの二人のエルディア人の子供たちを感化した場面です。「悪魔」とは誰なのか？おそらく生まれつきの悪魔など存在しないのでしょう。あるいは、悪魔とは自己中心的な人間性そのものかもしれません。しかし、洗脳された兵士たちは自分たちが殺した人々を悪魔と見なしてしまうため、非人道的な行為を正当化してしまうのです。まるで第二次世界大戦時のドイツや日本のように。



最後に、物語の結末について話したいと思います。実際、作者がエレンによる時間介入の設定を導入した時点で、私は物語が破綻するのではないかという予感がありました。なぜなら、このような設定は非常に高い論理と構成力が必要だからです。そして、多くの批判を受けた「八割の人類の殺害」は愚行に過ぎませんでした。中途半端な結果をもたらしたのです：巨人化を解くのであれば、最初からそうすればよかったのでは？島外の人々を皆殺しにするのであれば、なぜ全滅させなかったのか？島内の軍国主義思想は、平和が人類の夢に過ぎないことを暗示していました。ましてや、政治において「恩返し」などという概念は存在しません。巨人の力を失ったエルディア人はどこへ向かうのでしょうか？結局、作者はウロボロスのような「閉じた輪」の結末を作りたかったのですが、その結果、物語の構造が崩れてしまいました。「戦犯」が最後まで生き残ったのはなぜかと問われるならば、世界と政治は複雑であり、誰も彼らを裁けないのです。この物語の中では罪人が多すぎるのです。これもまた作者の立場なのかもしれません。歴史は清算されるべきではない、罪人は今生には存在しないのです。



しかし、私はこう考えます

https://www.mangakoinu.com/manga-5639.html"
ピエロ,3.9,2024/06/09,1,"エレン役の梶裕貴さんの演技がとんでもなかったです

素晴らしいの一言

色々と分かってきて今後の展開が気になります"
四ツ谷ミツル,4.5,2024/01/24,1,"原作未読のアニメ派からの感想。1期視聴済み。

色々明かされる事もあるのだが、それを上回る程多くの謎が散りばめられていく。物語的に言えば起承転結の""起の終わりから承の中盤""と言った所か。



作画は1期独特の太いアウトラインは無くなったが、スタイリッシュで良かった。相変わらず気合いの入れようが半端じゃない。ただでさえずっとハイクオリティなのに重要なシーンの影の描き込みや眼の力強さの画力が高すぎる。



1番印象に残ったシーンは

 {netabare}

アルミンがライナーとベルトルトにブラフをかけるシーンだ。アルミンの表情の描き込みがぶっちぎりで素晴らしい。こんな素晴らしい描き込みが動くなんてどうなっているんだ。(褒め言葉)

 {/netabare}

音楽も変わらず素晴らしかった。OP最初の破壊されたマリア像と最後の花に囲まれて朽ちたマリア像の対比が物語を示唆している様で印象的だ。



そんな感じで作画や音楽は素晴らしい完成度だが、物語的には1期とデジャヴを感じる展開だと思った。



※以下ネタバレ込みでストーリーに触れるのでガッツリ伏せさせて頂く。

 {netabare} 

おそらく本作のメインに当たるエレンを奪還する為に調査兵団達が森に行くシーンだが、この展開は1期と似ている…というかほぼ同じだ。

その同じような展開にも関わらず終わりは1期より成果が薄い。

エレンが「何にも変わってねぇな！！」と咆哮するシーンがあるのだが、まさにそうである。巨人の力を手に入れても大切な人は守れなかったし、ミカサを守ったのは過去の人間の姿のエレンだ。



この作品に対して、巨人をぶっ飛ばして一件落着！の様な爽快さは求めていないが、なんかこう、もう少し代償に見合った成果があっても良かったんじゃないかと思う。(エレンが新たな力を手に入れはしたが、2期の時点で詳細は不明なので割愛する)

サブキャラに多く尺を割いた事も相まってエレンの成長は今作ではあまり感じられなかった。

 {/netabare}

とまあ色々言ったが面白い事は間違い無いし、明かされた謎は衝撃的だった。

3期も期待しながら視聴しようと思う。"
hikura,5.0,2024/01/03,3,"エレンについてなんですけど、すぐに命を投げ出すような行動ができてしまう、不安定さが自分的に目を引きます。そのせいかエレンは闇堕ちしてしまったんではないかと思います。

でも誰よりも仲間思いで真っ直ぐな主人公だと思います。

エレンはとても心が広いし、変に奢らない。大変尊敬できる性格だと思います。そんなところが誰からも愛される所以かと思います。（愛されてるかはわからないけど）"
退会済のユーザー,4.8,2023/12/19,0,"謎は深まるばかり〜

ジャンがミカサを助けるシーンかっこよ

エルヴィンが腕食われたシーン目ん玉飛び出た"
マージマジマジーロ,4.7,2023/03/31,2,"【物語】

巨人の謎に迫る二期。

当初、見る前までは“人間対巨人”の構図だけだと思っていたが、各キャラの葛藤や、予想だにしない展開などのストーリーの作り込みが凄まじい。ストーリーに奥行きが出て、見る度に面白くなっていく。

ラストの終わり方も伏線を張ってワクワクするフィナーレで好印象。



【作画】

一期と同様に素晴らしい。圧倒的な戦闘シーンの迫力。恐怖する表情。木や荒れ地などの背景の作り込み等、どれをとっても優秀。



【声優】

梶さんと細谷さんの舌戦は見事。お互い声の迫力が恐ろしく、気概が悶々と伝わる。

しかし谷山さんは黒子のバスケなどでも散見されるのだが、叫びの演技がどうも合わない。叫ぶ時だけ別キャラに感じる。



【音楽】

OP(心臓を捧げよ！/Linked Horizon)は兵士たちの気持ちを言い表すような、はたまた彼らが自分自身に唱え続けているかのような“心臓を捧げよ”というワードの連呼が印象的。

ED(夕暮れの鳥/新聖かまってちゃん)は独自の世界観ながらも巨人に対する絶望感と奇妙な気味悪さが上手く表現されている。



【キャラ】

ライナー・ブラウンという人間の描き方が好き。兵士と戦士の狭間において、己の在り方に葛藤する姿は、本作のメインである“巨人に対する迷い”とは別視点のもので面白かった。

しかしリヴァイの出番が少なかったのは残念。"
太郎,4.9,2023/03/16,2,"巨人の謎に大きく迫る2期。意外性と驚きの連続で、この作品の底知れなさにただただ感動しました。

観る前は、タイトルから「巨人とエレンの対決」みたいな単純な作品だと思ってたので、つくづくアニメというのは見てみなければわからないですね。

2期だからといって出来が悪くなることもなく、高いレベルを維持してるのでアニメとしてのクオリティは満点。

内容は1期に比べてさらにハードになってるので逆はかなり少なめ。かなりシリアスになってました。

個人的な不満はリヴァイ兵長があんまり出てこなかったこと。なので100点です。リヴァイ兵長が活躍してたら120点でした。"
カモミール,3.5,2023/02/09,1,獣の巨人の憎たらしい感じが良く出てた。
U-yan,5.0,2022/09/10,2,２期です。重要な謎が生まれた１期の最終話から引き続き、新たな謎が次々と出てきますね。正直、頭の中の相関図はパニックになるかもしれませんｗ冷静に視聴しましょう。ちなみに {netabare}26.29.31.37 {/netabare}は神回過ぎます。それと同時に新たな謎も生まれます。離れる人もいるようですが、離れるか離れないかはあなた次第ですｗそれとＥＤがなかなかのネタバレになってます。ゆっくりと考察しながら視聴する方は気付く事もあると思いますが、私は「早く次を！」と一気観したので何も気づきませんでしたｗ
