username,rating,time,votes,comment
复读姬da🌟ze,5,2019-05-03 21:44:49,4998,我觉得五星太过有失偏颇了，就这种剧情作画以及分镜配乐……也就十星的水平
Zzzz,5,2019-05-15 16:31:55,3597,权游的编剧进来学学，看看人家是怎么杀角色的
Fridy777,5,2019-04-28 07:40:36,2247,我的青春不止火影复联，还有巨人
薛定谔的加菲猫,5,2019-04-29 08:27:46,2070,我有个愿望，巨人能像火影海贼一样成为长篇动漫，周更
soyo(已黑化),5,2019-04-28 09:36:20,2041,"到海边一般是是福利回，在这里我却看到了兵长:小心点韩吉，可能有毒！😂
看到第四集，心里很难受，调查兵团几乎全灭，团长一路走好
但是，你们的死亡绝不是毫无意义的！
正如团长所说，""为那些死去的士兵赋予生存意义的是我们，那些勇敢的死者，那些可怜的死者，能够悼念他们的，只有身为生者的我们，我们将会在这里死去，将这意义托付给下一个人，这正是唯一一个对抗这残酷世界的方法！
士兵们愤怒吧！
士兵们高呼吧！
士兵们战斗吧！""
献出心脏！
为人类的自由和未来献出心脏！！
调查兵团就是这样一群没有特殊能力、血肉之躯却甘愿用自己的牺牲来换取人类未来的普通人，正是因为如此才更加令人敬佩！
虚假的繁荣，家畜的安宁，百年笼中鸟，片刻自由人
""我们从出生开始就是特别自由自在、无拘无束的人啊！""
一起去看海吧，艾伦"
ridah,5,2019-06-04 00:36:44,1582,老师，墙外没有人类的结论，是怎么调查出来的？
Kannimeia,5,2019-05-15 11:54:46,1864,在冰与火第八季的衬托下，这部进击巨人的质量已经可以封神了。
琴酒,5,2019-09-24 10:22:17,1316,开始时讨厌这个片子的内核。它不断通过将宏大的历史叙事和人类的存亡相勾连，教诲人在某种危机时刻慷慨赴死的意义，为了通往未来某一刻、为全人类的生命与自由必须牺牲的现在，这种历史观没有任何动摇地展现出来，我实在太不喜欢。但当艾伦重回地下室，得知世界历史部分真相，那套追逐自由的人类历史叙述被完全摧毁，谁才是压迫者，谁才是反抗者，谁拥有正义的位置，所有惨烈的牺牲都无法再在历史中被锚定。谏山一举刺破了所有坚固的东西。他们最终来到那片象征着自由的大海，却是如此深刻的悲伤。
弱水轻寒,5,2019-05-01 11:43:38,1679,巨人的叙事结构有一种古典美，以及，确实是近期唯一带脑子打仗的了。 现在是2024年，不知道看了第几遍了，每次都还是哭得一塌糊涂啊…
momo,5,2019-04-29 20:34:20,1407,才第一集你们就截了两百多张图😂
哦，我的小美人,5,2019-04-28 09:28:00,1473,你大爷永远是你大爷
不务正业的Dr.J,5,2019-05-20 17:21:44,1020,"我们将会在这里死去，
将意义托付给下一个生存者，
这是唯一一个，
能够对抗这残酷世界的方法。"
非常好的油桃,5,2019-04-29 09:51:35,1157,想起那时从进巨入动漫坑的我 真是幸运得不像话
纯Jun,5,2019-04-29 07:56:39,1122,作为一个只看动画的人，对这个第一集的进展节奏感到叹服了。非常严密谨慎，又处处转折，最后还藏了个大招。
很困的阳仔,5,2019-04-28 17:46:06,940,艾伦和三笠啥时候能在一起啊……
慢慢常常,5,2019-06-03 10:46:57,725,“你们放过他吧。”----致敬最温柔的兵长
76,4,2019-05-07 23:59:39,117,巨人又开始斗殴啦
missmystery,5,2020-12-10 11:19:35,499,多年之后，面对行刑队，格里沙·耶格尔将会回想起，他带着妹妹去见识齐柏林飞艇的那个遥远的下午。
01-04,5,2019-04-29 09:59:29,829,用超级好看来形容都苍白无力！
嘉声,5,2020-07-11 23:08:39,439,埃尔文团长死在了真相黎明的前夜，现在回头看只感觉他无比幸运。死亡是无情战士永恒的休憩，而他至死都是个渴求理想的少年。
Smooth,5,2019-06-10 21:08:25,544,以前觉得被封是因为血腥，现在翻回来看看，是涉政了吧
Time,1,2019-09-28 01:36:35,115,"这作毫无疑问是篇历史影射。但最终走向情绪煽动还是反讽尚不可知，取决于作者之后能否对艾伦所谓的“自由”解构批判。
岛上人被陆地人厌恶，认为是犯罪者和怪物的设定不必说。掌控巨人的雷斯王族的不战契约直指战败后和平宪法主动放弃战争权，营造虚假的和平。艾国和马莱篡改历史的情节，指代“政府和国际社会把虚假的历史和罪恶感强塞给岛国人”的思潮。军队推翻软弱王政，主张对外扩张更是被作者赋予了代表人民利益的正当性。格里沙回忆父母说自己的祖先是犯罪者时说:“(父亲)像狗一样，一个劲贬低自己的祖先”，“祖先的错和我们有什么关系”。后来发现古籍里祖先才是发展建设大陆的人，认为“加害者”的历史是被陆地人杜撰出来的，同是很多“当代岛国人”的想法。
最后艾伦描述自由的原话
“把海对面的人都杀光，我们是不是就得到自由了呢”"
芦哲峰,5,2019-07-30 18:02:08,337,历史哪有真相，端看什么立场。所以都在攫取权力，有了权力，就可以篡改历史，按照自己的立场重新编辑。前两季只是“燃”，拍到第三季，深度都有了，诚如大家所言，此片可以封神了。
洛圣都的猫,5,2019-04-29 02:34:21,532,四月霸权番
咖啡只喝速溶,5,2019-04-29 17:58:34,410,为什么不直接叫第四季？
包包白,5,2019-06-04 12:50:52,355,埃尔文和阿明之间的选择。。。巅峰！！
Chaos,5,2019-04-29 10:27:47,419,第一集就这么燃，人生头一次想让别人给我剧透。
老K特别冒险,5,2019-04-29 15:27:36,279,"来了老弟！兵长要和猴子开打啦！
人还是要有梦想的，因为没有梦想信念的人走不到最后，兵长大人连小针针都不会给你打~"
Honey&Clover~,5,2019-05-20 12:37:30,458,这作品大概要名留史册了
你不知道的事,5,2019-06-03 19:47:31,383,"白夜这一集是第三季最为感触的一集，人性最为挣扎与至暗抉择的一集。一边是具有丰富领导经验的兵团之魂，一边是洞悉全局的战略天才，从利益角度选择都尤为艰难，何况还要掺杂于个人感情。在这里死去其实是脱离苦海，而活着则是遁入炼狱。

地下室:每周更一集实在太难熬了啊，而且只有20分钟，再水点两三分钟的，基本一眨眼就没了，地下室这集剧情拖的格外明显，说是去地下室也就进了个地下室的门就没了...

最终集:这一集越发的看出少数人真的能决定多数人的思想和意识形态，当众人看见大海惊讶，利威尔兵长怕水有毒时，感觉心酸又无奈。让人联想到百年前闭关锁国的清朝，在看见西方坚船利炮时惊恐不已的表情。如果没有巨人之力，那对抗新科技的马莱帝国何等艰难。"
爬行钢炮,5,2019-06-18 08:06:33,256,最初看完第一季，其实感觉不太好，莫名其妙，而且男主像个脑残只会哭和问为什么。所以放下了很久。直到第三季开播，才无意间看了第二季，剧情突飞猛进，人物合理性也有了，每一集都无比抓人，接连不断的谜题把墙内的现实推进深渊，可又偶尔有光亮照进去。这样直到猛看完第三季part1，做梦一样不愿醒来。part2更是直指巨人史上最佳，每一集都把我炸成了花。随着艾尔迪亚人的历史被揭开，巨人想传达的信息更加明了。尽管暴力像人类文明的毒瘤，经久作痛，深受其害者人人得而诛之。但这个世界，在这个世界里窒息的我，都谈不上对和错。因为原来杀戮不是毒瘤，人性本身才是。今朝是你，明朝是我，刀子只是流转于不同人之手。如何直面残酷的人类史，在更广阔的意义上使人类整体从这个噩梦中惊醒，才是远超艾尔迪亚人与马莱人宿仇的问题。
